n_decisions,cost
0,111
1,108
2,105
3,103
4,100
5,97
6,94
7,91
8,89
9,86
10,84
11,82
12,79
13,78
14,75
15,72
16,69
17,69
18,66
19,63
20,72
21,69
22,69
23,66
24,63
25,61
26,58
27,55
28,52
29,49
30,46
31,49
32,46
33,43
34,49
35,46
36,43
37,41
38,38
39,37
40,58
41,55
42,52
43,49
44,46
45,46
46,43
47,41
48,38
49,37
50,34
51,32
52,49
53,46
54,43
55,41
56,38
57,37
58,34
59,32
60,46
61,43
62,43
63,72
64,69
65,69
66,66
67,75
68,72
69,69
70,66
71,63
72,72
73,69
74,66
75,63
76,61
77,58
78,55
79,52
80,49
81,46
82,43
83,49
84,46
85,43
86,41
87,38
88,37
89,34
90,32
91,29
92,28
93,26
94,25
95,22
96,20
97,18
98,16
99,13
100,10
101,10
102,58
103,55
104,52
105,49
106,46
107,43
108,41
109,38
110,37
111,34
112,34
113,32
114,46
115,43
116,43
117,41
118,38
119,37
120,34
121,34
122,32
123,72
124,69
125,66
126,75
127,72
128,69
129,66
130,63
131,69
132,66
133,66
134,72
135,69
136,66
137,63
138,61
139,58
140,55
141,52
142,49
143,46
144,43
145,49
146,46
147,43
148,41
149,38
150,55
151,52
152,49
153,46
154,43
155,49
156,46
157,43
158,41
159,38
160,58
161,55
162,52
163,49
164,46
165,43
166,55
167,52
168,49
169,46
170,43
171,69
172,66
173,66
174,79
175,78
176,75
177,72
178,69
179,69
180,66
181,63
182,72
183,69
184,69
185,66
186,63
187,61
188,58
189,55
190,52
191,49
192,46
193,43
194,49
195,46
196,43
197,49
198,46
199,43
200,43
201,58
202,55
203,52
204,49
205,46
206,43
207,41
208,38
209,37
210,34
211,32
212,46
213,43
214,41
215,38
216,37
217,34
218,32
219,49
220,46
221,43
222,41
223,38
224,37
225,34
226,32
227,46
228,43
229,41
230,38
231,37
232,34
233,32
234,72
235,69
236,69
237,66
238,75
239,72
240,69
241,66
242,63
243,72
244,69
245,66
246,63
247,61
248,58
249,55
250,52
251,49
252,46
253,43
254,49
255,46
256,43
257,41
258,38
259,37
260,34
261,32
262,29
263,28
264,26
265,25
266,22
267,20
268,43
269,58
270,55
271,52
272,49
273,46
274,43
275,41
276,38
277,37
278,34
279,34
280,32
281,46
282,43
283,41
284,38
285,37
286,34
287,34
288,32
289,72
290,69
291,66
292,75
293,72
294,69
295,66
296,63
297,69
298,66
299,66
300,72
301,69
302,66
303,63
304,61
305,58
306,55
307,52
308,49
309,46
310,43
311,49
312,46
313,43
314,41
315,38
316,43
317,55
318,52
319,49
320,46
321,43
322,49
323,46
324,43
325,43
326,58
327,55
328,52
329,49
330,46
331,43
332,55
333,52
334,49
335,46
336,43
337,69
338,66
339,66
340,97
341,94
342,100
343,97
344,94
345,91
346,89
347,86
348,84
349,82
350,79
351,78
352,75
353,72
354,69
355,69
356,66
357,63
358,72
359,69
360,69
361,66
362,63
363,61
364,58
365,55
366,52
367,49
368,46
369,49
370,46
371,43
372,49
373,46
374,43
375,41
376,38
377,37
378,58
379,55
380,52
381,49
382,46
383,43
384,41
385,38
386,37
387,34
388,32
389,29
390,28
391,26
392,25
393,22
394,20
395,18
396,16
397,13
398,10
399,13
400,10
401,7
402,5
403,3
404,2
405,0
406,0
