n_decisions,cost
0,135
1,132
2,129
3,126
4,132
5,129
6,126
7,129
8,132
9,129
10,126
11,132
12,129
13,126
14,123
15,121
16,118
17,115
18,112
19,109
20,106
21,109
22,106
23,103
24,101
25,106
26,103
27,101
28,112
29,109
30,106
31,103
32,101
33,106
34,103
35,101
36,112
37,109
38,106
39,103
40,101
41,106
42,103
43,101
44,115
45,112
46,109
47,106
48,109
49,106
50,103
51,106
52,103
53,112
54,109
55,106
56,103
57,106
58,103
59,112
60,109
61,106
62,103
63,106
64,103
65,115
66,112
67,109
68,106
69,112
70,118
71,115
72,112
73,109
74,106
75,109
76,106
77,103
78,101
79,106
80,103
81,101
82,112
83,109
84,106
85,103
86,101
87,106
88,103
89,101
90,112
91,109
92,106
93,103
94,101
95,106
96,103
97,101
98,115
99,112
100,109
101,106
102,103
103,109
104,106
105,103
106,101
107,98
108,95
109,93
110,95
111,93
112,103
113,101
114,98
115,95
116,93
117,95
118,93
119,106
120,103
121,101
122,98
123,95
124,93
125,95
126,93
127,103
128,101
129,98
130,95
131,93
132,95
133,93
134,112
135,109
136,106
137,103
138,101
139,98
140,95
141,93
142,91
143,88
144,95
145,93
146,91
147,88
148,103
149,101
150,98
151,95
152,93
153,91
154,88
155,95
156,93
157,91
158,88
159,106
160,103
161,101
162,98
163,95
164,93
165,91
166,88
167,95
168,93
169,91
170,88
171,103
172,112
173,109
174,106
175,103
176,101
177,98
178,95
179,93
180,91
181,88
182,95
183,93
184,91
185,88
186,103
187,101
188,98
189,95
190,93
191,91
192,88
193,95
194,93
195,91
196,88
197,106
198,103
199,101
200,98
201,95
202,93
203,91
204,88
205,95
206,93
207,91
208,88
209,103
210,115
211,112
212,109
213,106
214,103
215,101
216,98
217,95
218,93
219,95
220,93
221,112
222,126
223,123
224,121
225,118
226,115
227,112
228,109
229,106
230,109
231,106
232,103
233,101
234,106
235,103
236,101
237,112
238,109
239,106
240,103
241,101
242,106
243,103
244,101
245,112
246,109
247,106
248,103
249,101
250,106
251,103
252,101
253,115
254,112
255,109
256,106
257,109
258,106
259,103
260,106
261,103
262,112
263,109
264,106
265,103
266,106
267,103
268,112
269,109
270,106
271,103
272,106
273,103
274,115
275,112
276,109
277,106
278,112
279,118
280,115
281,112
282,109
