n_decisions,cost
0,129
1,126
2,123
3,120
4,117
5,115
6,112
7,109
8,106
9,106
10,103
11,100
12,109
13,106
14,112
15,109
16,106
17,106
18,103
19,100
20,109
21,106
22,106
23,103
24,100
25,109
26,106
27,112
28,109
29,106
30,106
31,103
32,109
33,106
34,106
35,103
36,109
37,106
38,112
39,109
40,106
41,109
42,106
43,117
44,123
45,120
46,117
47,115
48,112
49,109
50,106
51,106
52,103
53,100
54,109
55,106
56,112
57,109
58,106
59,106
60,103
61,100
62,109
63,106
64,106
65,103
66,100
67,109
68,106
69,112
70,109
71,106
72,106
73,103
74,109
75,106
76,106
77,103
78,109
79,106
80,112
81,109
82,106
83,109
84,106
85,117
86,126
87,123
88,120
89,117
90,115
91,112
92,109
93,106
94,106
95,103
96,100
97,109
98,106
99,112
100,109
101,106
102,106
103,103
104,100
105,109
106,106
107,106
108,103
109,100
110,109
111,106
112,112
113,109
114,106
115,106
116,103
117,109
118,106
119,106
120,103
121,109
122,106
123,112
124,109
125,106
126,109
127,106
128,117
129,123
130,120
131,117
132,115
133,112
134,109
135,106
136,106
137,103
138,100
139,109
140,106
141,112
142,109
143,106
144,106
145,103
146,100
147,109
148,106
149,106
150,103
151,100
152,109
153,106
154,112
155,109
156,106
157,106
158,103
159,109
160,106
161,106
162,103
163,109
164,106
165,112
166,109
167,106
168,109
169,106
170,117
171,126
172,123
173,120
174,117
175,115
176,112
177,109
178,106
179,106
180,103
181,100
182,109
183,106
184,112
185,109
186,106
187,106
188,103
189,100
190,109
191,106
192,106
193,103
194,100
195,109
196,106
197,112
198,109
199,106
200,106
201,103
202,109
203,106
204,106
205,103
206,109
207,106
208,112
209,109
210,106
211,109
212,106
213,117
214,123
215,120
216,117
217,115
218,112
219,109
220,106
221,106
222,103
223,100
224,109
225,106
226,112
227,109
228,106
229,106
230,103
231,100
232,109
233,106
234,106
235,103
236,100
237,109
238,106
239,112
240,109
241,106
242,106
243,103
244,109
245,106
246,106
247,103
248,109
249,106
250,112
251,109
252,106
253,109
254,106
255,117
256,129
257,126
258,123
