n_decisions,cost
0,120
1,117
2,117
3,114
4,120
5,117
6,114
7,112
8,109
9,106
10,103
11,100
12,97
13,94
14,92
15,90
16,103
17,100
18,97
19,94
20,92
21,90
22,100
23,97
24,94
25,92
26,90
27,106
28,103
29,100
30,97
31,94
32,92
33,90
34,103
35,100
36,97
37,94
38,92
39,90
40,100
41,97
42,94
43,92
44,90
45,109
46,106
47,103
48,100
49,97
50,94
51,92
52,90
53,103
54,100
55,97
56,94
57,92
58,90
59,100
60,97
61,94
62,92
63,90
64,106
65,103
66,100
67,97
68,94
69,92
70,90
71,88
72,85
73,84
74,81
75,78
76,75
77,72
78,75
79,72
80,78
81,75
82,72
83,72
84,75
85,72
86,72
87,69
88,66
89,64
90,61
91,58
92,55
93,52
94,52
95,49
96,52
97,49
98,61
99,58
100,55
101,52
102,49
103,52
104,49
105,49
106,66
107,64
108,61
109,58
110,55
111,52
112,52
113,49
114,52
115,49
116,61
117,58
118,55
119,52
120,49
121,52
122,49
123,49
124,75
125,72
126,72
127,69
128,66
129,64
130,61
131,58
132,58
133,61
134,58
135,58
136,66
137,64
138,61
139,58
140,58
141,61
142,58
143,58
144,81
145,78
146,75
147,72
148,75
149,72
150,78
151,75
152,78
153,75
154,72
155,75
156,72
157,81
158,78
159,75
160,72
161,72
162,75
163,72
164,72
165,69
166,66
167,64
168,61
169,58
170,55
171,52
172,52
173,49
174,52
175,49
176,61
177,58
178,55
179,52
180,49
181,52
182,49
183,49
184,66
185,64
186,61
187,58
188,55
189,52
190,52
191,49
192,52
193,49
194,61
195,58
196,55
197,52
198,49
199,52
200,49
201,49
202,75
203,72
204,72
205,69
206,66
207,64
208,61
209,58
210,58
211,61
212,58
213,58
214,66
215,64
216,61
217,58
218,58
219,61
220,58
221,58
222,78
223,75
224,72
225,75
226,72
227,81
228,78
229,75
230,72
231,75
232,72
233,78
234,75
235,78
236,75
237,72
238,75
239,72
240,81
241,78
242,75
243,72
244,72
245,75
246,72
247,72
248,69
249,66
250,64
251,61
252,58
253,55
254,52
255,52
256,49
257,47
258,44
259,42
260,44
261,52
262,49
263,75
264,72
265,72
266,69
267,66
268,64
269,61
270,58
271,58
272,78
273,75
274,72
275,75
276,72
277,78
278,75
279,72
280,72
281,75
282,72
283,72
284,69
285,66
286,75
287,72
288,72
289,69
290,66
291,97
292,100
293,97
294,94
295,92
296,90
297,88
298,85
299,84
300,81
301,78
302,75
303,72
304,75
305,72
306,78
307,75
308,72
309,72
310,75
311,72
312,72
313,69
314,66
315,64
316,61
317,58
318,55
319,52
320,49
321,52
322,49
323,61
324,58
325,55
326,52
327,49
328,49
329,66
330,64
331,61
332,58
333,55
334,52
335,49
336,52
337,49
338,61
339,58
340,55
341,52
342,49
343,49
344,75
345,72
346,72
347,69
348,66
349,64
350,61
351,58
352,58
353,61
354,58
355,58
356,66
357,64
358,61
359,58
360,58
361,61
362,58
363,58
364,81
365,78
366,75
367,72
368,75
369,72
370,78
371,75
372,78
373,75
374,72
375,69
376,66
377,64
378,61
379,58
380,55
381,52
382,52
383,52
384,55
385,52
386,49
387,52
388,49
389,61
390,58
391,55
392,52
393,52
394,55
395,52
396,49
397,47
398,44
399,58
400,55
401,52
402,49
403,52
404,49
405,55
406,52
407,49
408,49
409,66
410,64
411,61
412,58
413,55
414,52
415,52
416,52
417,55
418,52
419,49
420,52
421,49
422,61
423,58
424,55
425,52
426,52
427,55
428,52
429,49
430,47
431,44
432,58
433,55
434,52
435,49
436,52
437,49
438,55
439,52
440,49
441,49
442,75
443,72
444,69
445,66
446,64
447,61
448,58
449,55
450,52
451,52
452,58
453,55
454,52
455,52
456,61
457,58
458,55
459,52
460,58
461,55
462,52
463,49
464,47
465,44
466,58
467,55
468,52
469,49
470,66
471,64
472,61
473,58
474,55
475,52
476,52
477,58
478,55
479,52
480,52
481,61
482,58
483,55
484,52
485,58
486,55
487,52
488,49
489,47
490,44
491,58
492,55
493,52
494,49
495,81
496,78
497,75
498,72
499,72
500,75
501,72
502,72
503,69
504,66
505,64
506,61
507,58
508,55
509,52
510,49
511,52
512,49
513,61
514,58
515,55
516,52
517,49
518,49
519,66
520,64
521,61
522,58
523,55
524,52
525,49
526,52
527,49
528,61
529,58
530,55
531,52
532,49
533,49
534,75
535,72
536,72
537,69
538,66
539,64
540,61
541,58
542,58
543,61
544,58
545,58
546,66
547,64
548,61
549,58
550,58
551,61
552,58
553,58
554,78
555,75
556,72
557,69
558,66
559,64
560,61
561,58
562,55
563,52
564,52
565,52
566,55
567,52
568,49
569,52
570,49
571,61
572,58
573,55
574,52
575,52
576,55
577,52
578,49
579,47
580,44
581,58
582,55
583,52
584,49
585,52
586,49
587,55
588,52
589,49
590,49
591,66
592,64
593,61
594,58
595,55
596,52
597,52
598,52
599,55
600,52
601,49
602,52
603,49
604,61
605,58
606,55
607,52
608,52
609,55
610,52
611,49
612,47
613,44
614,58
615,55
616,52
617,49
618,52
619,49
620,55
621,52
622,49
623,49
624,75
625,72
626,69
627,66
628,64
629,61
630,58
631,55
632,52
633,49
634,52
635,49
636,61
637,58
638,55
639,52
640,52
641,58
642,55
643,52
644,49
645,52
646,49
647,61
648,58
649,55
650,52
651,49
652,47
653,44
654,58
655,55
656,52
657,49
658,49
659,66
660,64
661,61
662,58
663,55
664,52
665,49
666,52
667,49
668,61
669,58
670,55
671,52
672,52
673,58
674,55
675,52
676,49
677,52
678,49
679,61
680,58
681,55
682,52
683,49
684,47
685,44
686,58
687,55
688,52
689,49
690,49
691,81
692,78
693,75
694,72
695,75
696,72
697,78
698,75
699,78
700,75
701,72
702,69
703,66
704,64
705,61
706,58
707,55
708,52
709,52
710,58
711,55
712,52
713,52
714,61
715,58
716,55
717,52
718,58
719,55
720,52
721,49
722,47
723,44
724,58
725,55
726,52
727,49
728,66
729,64
730,61
731,58
732,55
733,52
734,52
735,58
736,55
737,52
738,52
739,61
740,58
741,55
742,52
743,58
744,55
745,52
746,49
747,47
748,44
749,58
750,55
751,52
752,49
753,75
754,72
755,69
756,66
757,64
758,61
759,58
760,55
761,52
762,49
763,52
764,49
765,61
766,58
767,55
768,52
769,52
770,58
771,55
772,52
773,49
774,52
775,49
776,61
777,58
778,55
779,52
780,49
781,47
782,44
783,58
784,55
785,52
786,49
787,49
788,66
789,64
790,61
791,58
792,55
793,52
794,49
795,52
796,49
797,61
798,58
799,55
800,52
801,52
802,58
803,55
804,52
805,49
806,52
807,49
808,61
809,58
810,55
811,52
812,49
813,47
814,44
815,58
816,55
817,52
818,49
819,49
820,81
821,78
822,75
823,72
824,72
825,75
826,72
827,72
828,69
829,66
830,64
831,61
832,58
833,55
834,52
835,49
836,47
837,44
838,42
839,39
840,37
841,34
842,31
843,30
844,27
845,25
846,44
847,52
848,49
849,75
850,72
851,72
852,69
853,66
854,64
855,61
856,58
857,58
858,78
859,75
860,72
861,69
862,66
863,64
864,61
865,58
866,55
867,52
868,52
869,52
870,55
871,52
872,49
873,47
874,44
875,42
876,39
877,37
878,34
879,31
880,30
881,27
882,27
883,44
884,52
885,49
886,75
887,72
888,69
889,66
890,64
891,61
892,58
893,55
894,52
895,49
896,47
897,44
898,44
899,42
900,52
901,49
902,61
903,58
904,55
905,52
906,52
907,58
908,55
909,52
910,49
911,47
912,44
913,44
914,52
915,49
916,78
917,75
918,72
919,69
920,66
921,72
922,69
923,66
924,64
925,61
926,58
927,55
928,52
929,52
930,58
931,55
932,52
933,52
934,52
935,55
936,52
937,49
938,47
939,44
940,42
941,39
942,37
943,52
944,49
945,66
946,75
947,72
948,69
949,66
950,72
951,69
952,66
953,69
954,66
955,75
956,72
957,69
958,66
959,64
960,61
961,58
962,58
963,55
964,52
965,49
966,47
967,44
968,42
969,52
970,49
971,61
972,58
973,55
974,52
975,52
976,58
977,58
978,55
979,52
980,49
981,47
982,44
983,42
984,52
985,49
986,66
987,72
988,69
989,66
990,69
991,66
992,97
993,103
994,100
995,97
996,97
997,100
998,97
999,97
1000,100
1001,97
1002,97
1003,109
1004,106
1005,103
1006,100
1007,97
1008,94
1009,92
1010,90
1011,103
1012,100
1013,97
1014,94
1015,92
1016,90
1017,100
1018,97
1019,94
1020,92
1021,90
1022,106
1023,103
1024,100
1025,97
1026,94
1027,92
1028,90
1029,88
1030,85
1031,84
1032,81
1033,78
1034,75
1035,72
1036,75
1037,72
1038,72
1039,75
1040,72
1041,78
1042,75
1043,72
1044,72
1045,69
1046,66
1047,64
1048,61
1049,58
1050,55
1051,52
1052,52
1053,49
1054,52
1055,49
1056,61
1057,58
1058,55
1059,52
1060,52
1061,49
1062,47
1063,44
1064,58
1065,55
1066,52
1067,49
1068,52
1069,49
1070,49
1071,66
1072,64
1073,61
1074,58
1075,55
1076,52
1077,52
1078,49
1079,52
1080,49
1081,61
1082,58
1083,55
1084,52
1085,52
1086,49
1087,47
1088,44
1089,58
1090,55
1091,52
1092,49
1093,52
1094,49
1095,49
1096,75
1097,72
1098,81
1099,78
1100,75
1101,72
1102,75
1103,72
1104,72
1105,75
1106,72
1107,78
1108,75
1109,72
1110,75
1111,81
1112,78
1113,75
1114,72
1115,72
1116,69
1117,66
1118,64
1119,61
1120,58
1121,55
1122,52
1123,52
1124,49
1125,52
1126,49
1127,61
1128,58
1129,55
1130,52
1131,52
1132,49
1133,47
1134,44
1135,58
1136,55
1137,52
1138,49
1139,52
1140,49
1141,49
1142,66
1143,64
1144,61
1145,58
1146,55
1147,52
1148,52
1149,49
1150,52
1151,49
1152,61
1153,58
1154,55
1155,52
1156,52
1157,49
1158,47
1159,44
1160,58
1161,55
1162,52
1163,49
1164,52
