n_decisions,cost
1,108
2,105
3,102
4,102
5,105
6,102
7,99
8,97
9,94
10,91
11,88
12,85
13,82
14,88
15,85
16,82
17,85
18,82
19,81
20,78
21,76
22,73
23,70
24,69
25,66
26,63
27,63
28,60
29,57
30,66
31,63
32,60
33,57
34,63
35,60
36,57
37,60
38,66
39,63
40,60
41,57
42,55
43,52
44,49
45,52
46,49
47,49
48,52
49,49
50,49
51,57
52,63
53,60
54,57
55,57
56,60
57,57
58,55
59,52
60,49
61,52
62,49
63,49
64,66
65,63
66,60
67,57
68,70
69,69
70,66
71,63
72,63
73,60
74,57
75,66
76,63
77,60
78,57
79,63
80,60
81,57
82,60
83,66
84,63
85,60
86,57
87,55
88,52
89,49
90,52
91,49
92,47
93,49
94,52
95,49
96,47
97,44
98,42
99,39
100,36
101,34
102,31
103,31
104,30
105,27
106,27
107,39
108,39
109,36
110,49
111,57
112,63
113,60
114,57
115,57
116,60
117,57
118,55
119,52
120,49
121,52
122,49
123,47
124,44
125,42
126,39
127,36
128,34
129,31
130,30
131,27
132,27
133,39
134,49
135,66
136,63
137,60
138,57
139,73
140,70
141,69
142,66
143,63
144,63
145,60
146,57
147,66
148,63
149,60
150,57
151,63
152,60
153,57
154,60
155,66
156,63
157,60
158,57
159,55
160,52
161,49
162,52
163,49
164,47
165,49
166,52
167,49
168,47
169,44
170,42
171,39
172,36
173,34
174,31
175,31
176,30
177,27
178,25
179,22
180,19
181,17
182,14
183,12
184,9
185,14
186,12
187,9
188,22
189,39
190,39
191,36
192,49
193,57
194,63
195,60
196,57
197,57
198,60
199,57
200,55
201,52
202,49
203,52
204,49
205,47
206,44
207,42
208,39
209,36
210,34
211,31
212,30
213,27
214,25
215,22
216,19
217,17
218,14
219,12
220,9
221,7
222,5
223,4
224,2
225,1
226,0
