n_decisions,cost
1,132
2,129
3,126
4,123
5,120
6,120
7,118
8,115
9,112
10,109
11,106
12,112
13,109
14,106
15,112
16,109
17,106
18,106
19,104
20,101
21,98
22,96
23,93
24,90
25,88
26,85
27,82
28,81
29,78
30,75
31,72
32,69
33,78
34,75
35,72
36,69
37,78
38,75
39,72
40,69
41,85
42,82
43,81
44,78
45,75
46,72
47,69
48,66
49,78
50,75
51,72
52,69
53,78
54,75
55,72
56,69
57,66
58,90
59,98
60,101
61,98
62,96
63,93
64,90
65,88
66,85
67,82
68,81
69,78
70,75
71,72
72,69
73,72
74,69
75,69
76,78
77,75
78,72
79,69
80,72
81,69
82,69
83,78
84,75
85,72
86,69
87,85
88,82
89,81
90,78
91,75
92,72
93,69
94,66
95,64
96,72
97,69
98,66
99,64
100,69
101,66
102,78
103,75
104,72
105,69
106,72
107,69
108,69
109,78
110,75
111,72
112,69
113,66
114,90
115,98
116,96
117,93
118,90
119,88
120,85
121,82
122,81
123,78
124,75
125,72
126,69
127,75
128,72
129,69
130,72
131,69
132,69
133,78
134,75
135,72
136,69
137,75
138,72
139,69
140,72
141,69
142,69
143,78
144,75
145,72
146,69
147,85
148,82
149,81
150,78
151,75
152,72
153,69
154,66
155,75
156,72
157,69
158,66
159,64
160,61
161,58
162,58
163,56
164,72
165,69
166,66
167,64
168,61
169,58
170,58
171,56
172,69
173,66
174,78
175,75
176,72
177,69
178,75
179,72
180,69
181,72
182,69
183,69
184,78
185,75
186,72
187,69
188,66
189,90
190,115
191,112
192,112
193,112
194,112
195,123
196,120
197,118
198,115
199,112
200,109
201,106
202,112
203,109
204,106
205,112
206,109
207,106
208,106
209,104
210,101
211,98
212,96
213,93
214,90
215,90
216,88
217,85
218,82
219,82
220,81
221,78
222,75
223,72
224,69
225,78
226,75
227,72
228,69
229,78
230,75
231,72
232,69
233,85
234,82
235,82
236,81
237,78
238,75
239,72
240,69
241,66
242,78
243,75
244,72
245,69
246,78
247,75
248,72
249,69
250,66
251,85
252,82
253,81
254,78
255,75
256,72
257,69
258,66
259,78
260,75
261,72
262,69
263,78
264,75
265,72
266,69
267,66
268,82
269,81
270,78
271,75
272,72
273,69
274,66
275,78
276,75
277,72
278,69
279,78
280,75
281,72
282,69
283,66
284,93
285,90
286,90
287,98
288,101
289,98
290,96
291,93
292,90
293,90
294,88
295,85
296,82
297,82
298,81
299,78
300,75
301,72
302,69
303,72
304,69
305,78
306,75
307,72
308,69
309,72
310,69
311,78
312,75
313,72
314,69
315,85
316,82
317,82
318,81
319,78
320,75
321,72
322,69
323,66
324,64
325,72
326,69
327,66
328,78
329,75
330,72
331,69
332,72
333,69
334,78
335,75
336,72
337,69
338,66
339,85
340,82
341,81
342,78
343,75
344,72
345,69
346,66
347,64
348,72
349,69
350,66
351,78
352,75
353,72
354,69
355,72
356,69
357,78
358,75
359,72
360,69
361,66
362,82
363,81
364,78
365,75
366,72
367,69
368,66
369,64
370,72
371,69
372,66
373,78
374,75
375,72
376,69
377,72
378,69
379,78
380,75
381,72
382,69
383,66
384,93
385,90
386,90
387,98
388,96
389,93
390,90
391,90
392,88
393,85
394,82
395,82
396,81
397,78
398,75
399,72
400,69
401,75
402,72
403,69
404,72
405,69
406,78
407,75
408,72
409,69
410,75
411,72
412,69
413,72
414,69
415,78
416,75
417,72
418,69
419,85
420,82
421,82
422,81
423,78
424,75
425,72
426,69
427,66
428,75
429,72
430,69
431,66
432,64
433,61
434,58
435,56
436,72
437,69
438,66
439,78
440,75
441,72
442,69
443,75
444,72
445,69
446,72
447,69
448,78
449,75
450,72
451,69
452,66
453,85
454,82
455,81
456,78
457,75
458,72
459,69
460,66
461,75
462,72
463,69
464,66
465,64
466,61
467,58
468,56
469,72
470,69
471,66
472,78
473,75
474,72
475,69
476,75
477,72
478,69
479,72
480,69
481,78
482,75
483,72
484,69
485,66
486,82
487,81
488,78
489,75
490,72
491,69
492,66
493,75
494,72
495,69
496,66
497,64
498,61
499,58
500,72
501,69
502,66
503,78
504,75
505,72
506,69
507,75
508,72
509,69
510,72
511,69
512,78
513,75
514,72
515,69
516,66
517,93
518,90
519,90
520,115
521,112
522,109
523,106
524,112
525,109
526,106
527,112
528,109
529,106
530,106
531,104
532,101
533,98
534,96
535,93
536,90
537,90
538,88
539,85
540,82
541,82
542,81
543,78
544,75
545,72
546,69
547,78
548,75
549,72
550,69
551,78
552,75
553,72
554,69
555,85
556,82
557,82
558,81
559,78
560,75
561,72
562,69
563,66
564,78
565,75
566,72
567,69
568,78
569,75
570,72
571,69
572,66
573,85
574,82
575,81
576,78
577,75
578,72
579,69
580,66
581,78
582,75
583,72
584,69
585,78
586,75
587,72
588,69
589,66
590,82
591,81
592,78
593,75
594,72
595,69
596,66
597,78
598,75
599,72
600,69
601,78
602,75
603,72
604,69
605,66
606,93
607,90
608,90
609,98
610,101
611,98
612,96
613,93
614,90
615,90
616,88
617,85
618,82
619,82
620,81
621,78
622,75
623,72
624,69
625,75
626,72
627,69
628,66
629,64
630,61
631,58
632,56
633,72
634,69
635,78
636,75
637,72
638,69
639,75
640,72
641,69
642,66
643,72
644,69
645,85
646,82
647,82
648,81
649,78
650,75
651,72
652,69
653,66
654,75
655,72
656,69
657,66
658,64
659,61
660,58
661,56
662,72
663,69
664,66
665,78
666,75
667,72
668,69
669,75
670,72
671,69
672,72
673,69
674,85
675,82
676,81
677,78
678,75
679,72
680,69
681,66
682,75
683,72
684,69
685,66
686,64
687,61
688,58
689,56
690,66
691,72
692,69
693,66
694,78
695,75
696,72
697,69
698,75
699,72
700,69
701,66
702,72
703,69
704,82
705,81
706,78
707,75
708,72
709,69
710,66
711,75
712,72
713,69
714,66
715,66
716,64
717,61
718,58
719,56
720,72
721,69
722,66
723,78
724,75
725,72
726,69
727,75
728,72
729,69
730,66
731,72
732,69
733,93
734,90
735,90
736,98
737,123
738,120
739,118
740,115
741,112
742,109
743,106
744,112
745,109
746,106
747,112
748,109
749,106
750,106
751,104
752,101
753,98
754,96
755,93
756,90
757,90
758,88
759,85
760,82
761,82
762,81
763,78
764,75
765,72
766,69
767,78
768,75
769,72
770,69
771,78
772,75
773,72
774,69
775,85
776,82
777,82
778,81
779,78
780,75
781,72
782,69
783,66
784,78
785,75
786,72
787,69
788,78
789,75
790,72
791,69
792,66
793,85
794,82
795,81
796,78
797,75
798,72
799,69
800,66
801,78
802,75
803,72
804,69
805,78
806,75
807,72
808,69
809,66
810,82
811,81
812,78
813,75
814,72
815,69
816,66
817,78
818,75
819,72
820,69
821,78
822,75
823,72
824,69
825,66
826,93
827,90
828,90
829,98
830,101
831,98
832,96
833,93
834,90
835,90
836,88
837,85
838,82
839,82
840,81
841,78
842,75
843,72
844,69
845,72
846,69
847,78
848,75
849,72
850,69
851,72
852,69
853,78
854,75
855,72
856,69
857,85
858,82
859,82
860,81
861,78
862,75
863,72
864,69
865,66
866,64
867,72
868,69
869,66
870,78
871,75
872,72
873,69
874,72
875,69
876,78
877,75
878,72
879,69
880,66
881,85
882,82
883,81
884,78
885,75
886,72
887,69
888,66
889,64
890,72
891,69
892,66
893,78
894,75
895,72
896,69
897,72
898,69
899,78
900,75
901,72
902,69
903,66
904,82
905,81
906,78
907,75
908,72
909,69
910,66
911,64
912,72
913,69
914,66
915,78
916,75
917,72
918,69
919,72
920,69
921,78
922,75
923,72
924,69
925,66
926,93
927,90
928,90
929,98
930,96
931,93
932,90
933,90
934,88
935,85
936,82
937,82
938,81
939,78
940,75
941,72
942,69
943,75
944,72
945,69
946,72
947,69
948,78
949,75
