n_decisions,cost
0,114
2,111
4,108
6,105
8,103
10,100
12,97
14,94
16,91
18,89
20,86
22,84
24,82
26,79
28,78
30,75
32,72
34,69
36,69
38,66
40,63
42,72
44,69
46,69
48,66
50,63
52,61
54,58
56,55
58,52
60,49
62,46
64,49
66,46
68,43
70,49
72,46
74,43
76,41
78,38
80,37
82,58
84,55
86,52
88,49
90,46
92,46
94,43
96,41
98,38
100,37
102,34
104,32
106,49
108,46
110,43
112,41
114,38
116,37
118,34
120,32
122,46
124,43
126,43
128,72
130,69
132,69
134,66
136,75
138,72
140,69
142,66
144,63
146,72
148,69
150,66
152,63
154,61
156,58
158,55
160,52
162,49
164,46
166,43
168,49
170,46
172,43
174,41
176,38
178,37
180,34
182,32
184,29
186,28
188,26
190,25
192,22
194,20
196,18
198,16
200,13
202,10
204,10
206,58
208,55
210,52
212,49
214,46
216,43
218,41
220,38
222,37
224,34
226,34
228,32
230,46
232,43
234,43
236,41
238,38
240,37
242,34
244,34
246,32
248,72
250,69
252,66
254,75
256,72
258,69
260,66
262,63
264,69
266,66
268,66
270,72
272,69
274,66
276,63
278,61
280,58
282,55
284,52
286,49
288,46
290,43
292,49
294,46
296,43
298,41
300,38
302,55
304,52
306,49
308,46
310,43
312,49
314,46
316,43
318,41
320,38
322,58
324,55
326,52
328,49
330,46
332,43
334,55
336,52
338,49
340,46
342,43
344,69
346,66
348,66
350,79
352,78
354,75
356,72
358,69
360,69
362,66
364,63
366,72
368,69
370,69
372,66
374,63
376,61
378,58
380,55
382,52
384,49
386,46
388,43
390,49
392,46
394,43
396,49
398,46
400,43
402,43
404,58
406,55
408,52
410,49
412,46
414,43
416,41
418,38
420,37
422,34
424,32
426,46
428,43
430,41
432,38
434,37
436,34
438,32
440,49
442,46
444,43
446,41
448,38
450,37
452,34
454,32
456,46
458,43
460,41
462,38
464,37
466,34
468,32
470,72
472,69
474,69
476,66
478,75
480,72
482,69
484,66
486,63
488,72
490,69
492,66
494,63
496,61
498,58
500,55
502,52
504,49
506,46
508,43
510,49
512,46
514,43
516,41
518,38
520,37
522,34
524,32
526,29
528,28
530,26
532,25
534,22
536,20
538,43
540,58
542,55
544,52
546,49
548,46
550,43
552,41
554,38
556,37
558,34
560,34
562,32
564,46
566,43
568,41
570,38
572,37
574,34
576,34
578,32
580,72
582,69
584,66
586,75
588,72
590,69
592,66
594,63
596,69
598,66
600,66
602,72
604,69
606,66
608,63
610,61
612,58
614,55
616,52
618,49
620,46
622,43
624,49
626,46
628,43
630,41
632,38
634,43
636,55
638,52
640,49
642,46
644,43
646,49
648,46
650,43
652,43
654,58
656,55
658,52
660,49
662,46
664,43
666,55
668,52
670,49
672,46
674,43
676,69
678,66
680,66
682,97
684,94
686,100
688,97
690,94
692,91
694,89
696,86
698,84
700,82
702,79
704,78
706,75
708,72
710,69
712,69
714,66
716,63
718,72
720,69
722,69
724,66
726,63
728,61
730,58
732,55
734,52
736,49
738,46
740,49
742,46
744,43
746,49
748,46
750,43
752,41
754,38
756,37
758,58
760,55
762,52
764,49
766,46
768,43
770,41
772,38
774,37
776,34
778,32
780,29
782,28
784,26
786,25
788,22
790,20
792,18
794,16
796,13
798,10
800,13
802,10
804,7
806,5
808,3
810,2
812,0
814,0
