n_decisions,cost
0,138
2,135
4,132
6,129
8,126
10,132
12,129
14,126
16,129
18,132
20,129
22,126
24,132
26,129
28,126
30,123
32,121
34,118
36,115
38,112
40,109
42,106
44,109
46,106
48,103
50,101
52,106
54,103
56,101
58,112
60,109
62,106
64,103
66,101
68,106
70,103
72,101
74,112
76,109
78,106
80,103
82,101
84,106
86,103
88,101
90,115
92,112
94,109
96,106
98,109
100,106
102,103
104,106
106,103
108,112
110,109
112,106
114,103
116,106
118,103
120,112
122,109
124,106
126,103
128,106
130,103
132,115
134,112
136,109
138,106
140,112
142,118
144,115
146,112
148,109
150,106
152,109
154,106
156,103
158,101
160,106
162,103
164,101
166,112
168,109
170,106
172,103
174,101
176,106
178,103
180,101
182,112
184,109
186,106
188,103
190,101
192,106
194,103
196,101
198,115
200,112
202,109
204,106
206,103
208,109
210,106
212,103
214,101
216,98
218,95
220,93
222,95
224,93
226,103
228,101
230,98
232,95
234,93
236,95
238,93
240,106
242,103
244,101
246,98
248,95
250,93
252,95
254,93
256,103
258,101
260,98
262,95
264,93
266,95
268,93
270,112
272,109
274,106
276,103
278,101
280,98
282,95
284,93
286,91
288,88
290,95
292,93
294,91
296,88
298,103
300,101
302,98
304,95
306,93
308,91
310,88
312,95
314,93
316,91
318,88
320,106
322,103
324,101
326,98
328,95
330,93
332,91
334,88
336,95
338,93
340,91
342,88
344,103
346,112
348,109
350,106
352,103
354,101
356,98
358,95
360,93
362,91
364,88
366,95
368,93
370,91
372,88
374,103
376,101
378,98
380,95
382,93
384,91
386,88
388,95
390,93
392,91
394,88
396,106
398,103
400,101
402,98
404,95
406,93
408,91
410,88
412,95
414,93
416,91
418,88
420,103
422,115
424,112
426,109
428,106
430,103
432,101
434,98
436,95
438,93
440,95
442,93
444,112
446,126
448,123
450,121
452,118
454,115
456,112
458,109
460,106
462,109
464,106
466,103
468,101
470,106
472,103
474,101
476,112
478,109
480,106
482,103
484,101
486,106
488,103
490,101
492,112
494,109
496,106
498,103
500,101
502,106
504,103
506,101
508,115
510,112
512,109
514,106
516,109
518,106
520,103
522,106
524,103
526,112
528,109
530,106
532,103
534,106
536,103
538,112
540,109
542,106
544,103
546,106
548,103
550,115
552,112
554,109
556,106
558,112
560,118
562,115
564,112
566,109
568,106
570,109
572,106
574,103
576,101
578,106
580,103
582,101
584,112
586,109
588,106
590,103
592,101
594,106
596,103
598,101
600,112
602,109
604,106
606,103
608,101
610,106
612,103
614,101
616,115
618,112
620,109
622,106
624,103
626,109
628,106
630,103
632,101
634,98
636,95
638,93
640,95
642,93
644,103
646,101
648,98
650,95
652,93
654,95
656,93
658,106
660,103
662,101
664,98
666,95
668,93
670,95
672,93
674,103
676,101
678,98
680,95
682,93
684,95
686,93
688,112
690,109
692,106
694,103
696,101
698,98
700,95
702,93
704,91
706,88
708,95
710,93
712,91
714,88
716,103
718,101
720,98
722,95
724,93
726,91
728,88
730,95
732,93
734,91
736,88
738,106
740,103
742,101
744,98
746,95
748,93
750,91
752,88
754,95
756,93
758,91
760,88
762,103
764,112
766,109
768,106
770,103
772,101
774,98
776,95
778,93
780,91
782,88
784,95
786,93
788,91
790,88
792,103
794,101
796,98
