n_decisions,cost
0,132
2,129
4,126
6,123
8,120
10,117
12,115
14,112
16,109
18,106
20,106
22,103
24,100
26,109
28,106
30,112
32,109
34,106
36,106
38,103
40,100
42,109
44,106
46,106
48,103
50,100
52,109
54,106
56,112
58,109
60,106
62,106
64,103
66,109
68,106
70,106
72,103
74,109
76,106
78,112
80,109
82,106
84,109
86,106
88,117
90,123
92,120
94,117
96,115
98,112
100,109
102,106
104,106
106,103
108,100
110,109
112,106
114,112
116,109
118,106
120,106
122,103
124,100
126,109
128,106
130,106
132,103
134,100
136,109
138,106
140,112
142,109
144,106
146,106
148,103
150,109
152,106
154,106
156,103
158,109
160,106
162,112
164,109
166,106
168,109
170,106
172,117
174,126
176,123
178,120
180,117
182,115
184,112
186,109
188,106
190,106
192,103
194,100
196,109
198,106
200,112
202,109
204,106
206,106
208,103
210,100
212,109
214,106
216,106
218,103
220,100
222,109
224,106
226,112
228,109
230,106
232,106
234,103
236,109
238,106
240,106
242,103
244,109
246,106
248,112
250,109
252,106
254,109
256,106
258,117
260,123
262,120
264,117
266,115
268,112
270,109
272,106
274,106
276,103
278,100
280,109
282,106
284,112
286,109
288,106
290,106
292,103
294,100
296,109
298,106
300,106
302,103
304,100
306,109
308,106
310,112
312,109
314,106
316,106
318,103
320,109
322,106
324,106
326,103
328,109
330,106
332,112
334,109
336,106
338,109
340,106
342,117
344,126
346,123
348,120
350,117
352,115
354,112
356,109
358,106
360,106
362,103
364,100
366,109
368,106
370,112
372,109
374,106
376,106
378,103
380,100
382,109
384,106
386,106
388,103
390,100
392,109
394,106
396,112
398,109
400,106
402,106
404,103
406,109
408,106
410,106
412,103
414,109
416,106
418,112
420,109
422,106
424,109
426,106
428,117
430,123
432,120
434,117
436,115
438,112
440,109
442,106
444,106
446,103
448,100
450,109
452,106
454,112
456,109
458,106
460,106
462,103
464,100
466,109
468,106
470,106
472,103
474,100
476,109
478,106
480,112
482,109
484,106
486,106
488,103
490,109
492,106
494,106
496,103
498,109
500,106
502,112
504,109
506,106
508,109
510,106
512,117
514,129
516,126
518,123
520,120
522,117
524,115
526,112
528,109
530,106
532,106
534,103
536,100
538,109
540,106
542,112
544,109
546,106
548,106
550,103
552,100
554,109
556,106
558,106
560,103
562,100
564,98
566,95
568,92
570,90
572,88
574,85
576,84
578,81
580,78
582,75
584,72
586,70
588,67
590,64
592,64
594,61
596,58
598,58
600,58
602,67
604,64
606,61
608,58
610,58
612,58
614,67
616,64
618,61
620,58
622,58
624,58
626,64
628,61
630,58
632,58
634,61
636,58
638,58
640,72
642,78
644,75
646,72
648,75
650,72
652,70
654,67
656,64
658,64
660,61
662,58
664,58
666,58
668,58
670,67
672,64
674,61
676,58
678,58
680,58
682,58
684,67
686,64
688,61
690,58
692,55
694,58
696,55
698,58
700,55
702,64
704,61
706,58
708,58
710,58
712,61
714,58
716,58
718,58
720,78
722,75
724,72
726,75
728,72
730,70
732,67
734,64
736,64
738,61
740,58
742,55
744,58
746,55
748,58
750,55
752,67
754,64
756,61
758,58
760,55
762,58
764,55
766,58
768,55
770,67
772,64
774,61
776,58
778,58
780,58
782,58
784,64
786,61
788,58
790,58
792,58
794,61
796,58
798,58
800,58
802,81
804,78
806,78
808,75
810,72
812,78
814,75
816,72
818,81
820,78
822,75
824,72
826,78
828,75
830,75
832,85
834,84
836,81
838,78
840,75
842,72
844,70
846,67
848,64
850,64
852,61
854,58
856,58
858,55
860,52
862,58
864,55
866,52
868,67
870,64
872,61
874,58
876,58
878,55
880,52
882,58
884,55
886,52
888,67
890,64
892,61
894,58
896,58
898,55
900,52
902,58
904,55
906,52
908,64
910,61
912,58
914,58
916,55
918,52
920,61
922,58
924,58
926,55
928,52
930,52
932,51
934,48
936,72
938,78
940,75
942,72
944,75
946,72
948,70
950,67
952,64
954,64
956,61
958,58
960,55
962,58
964,58
966,55
968,58
970,55
972,67
974,64
976,61
978,58
980,55
982,58
984,58
986,55
988,58
990,55
992,67
994,64
996,61
998,58
1000,55
1002,55
1004,58
1006,55
1008,58
1010,55
1012,55
1014,64
1016,61
1018,58
1020,55
1022,58
1024,58
1026,55
1028,61
1030,58
1032,55
1034,52
1036,58
1038,58
1040,55
1042,52
1044,78
1046,75
1048,72
1050,75
1052,72
1054,70
1056,67
1058,64
1060,64
1062,61
1064,58
1066,55
1068,55
1070,58
1072,55
1074,58
1076,55
1078,55
1080,67
1082,64
1084,61
1086,58
1088,55
1090,55
1092,58
1094,55
1096,58
1098,55
1100,55
1102,67
1104,64
1106,61
1108,58
1110,55
1112,58
1114,58
1116,55
1118,58
1120,55
1122,64
1124,61
1126,58
1128,55
1130,58
1132,58
1134,55
1136,61
1138,58
1140,55
1142,52
1144,58
1146,58
1148,55
1150,52
1152,81
1154,78
1156,78
1158,75
1160,72
1162,78
1164,75
1166,72
1168,81
1170,78
1172,75
1174,72
1176,78
1178,75
1180,75
1182,92
1184,95
1186,92
1188,90
1190,88
1192,85
1194,84
1196,81
1198,78
1200,75
1202,72
1204,70
1206,67
1208,64
1210,64
1212,61
1214,58
1216,58
1218,58
1220,64
1222,61
1224,58
1226,58
1228,58
1230,67
1232,64
1234,61
1236,58
1238,58
1240,58
1242,64
1244,61
1246,58
1248,58
1250,61
1252,58
1254,58
1256,72
1258,78
1260,75
1262,72
1264,75
1266,72
1268,70
1270,67
1272,64
1274,64
1276,61
1278,58
1280,58
1282,58
1284,58
1286,64
1288,61
1290,58
1292,55
1294,58
1296,55
1298,58
1300,55
1302,67
1304,64
1306,61
1308,58
1310,58
1312,58
1314,58
1316,64
1318,61
1320,58
1322,58
1324,58
1326,61
1328,58
1330,58
1332,58
1334,78
1336,75
1338,72
1340,75
1342,72
1344,70
1346,67
1348,64
1350,64
1352,61
1354,58
1356,55
1358,58
1360,55
1362,58
1364,55
1366,64
