n_decisions,cost
0,123
2,120
4,117
6,117
8,114
10,120
12,117
14,114
16,112
18,109
20,106
22,103
24,100
26,97
28,94
30,92
32,90
34,103
36,100
38,97
40,94
42,92
44,90
46,100
48,97
50,94
52,92
54,90
56,106
58,103
60,100
62,97
64,94
66,92
68,90
70,103
72,100
74,97
76,94
78,92
80,90
82,100
84,97
86,94
88,92
90,90
92,109
94,106
96,103
98,100
100,97
102,94
104,92
106,90
108,103
110,100
112,97
114,94
116,92
118,90
120,100
122,97
124,94
126,92
128,90
130,106
132,103
134,100
136,97
138,94
140,92
142,90
144,88
146,85
148,84
150,81
152,78
154,75
156,72
158,75
160,72
162,78
164,75
166,72
168,72
170,75
172,72
174,72
176,69
178,66
180,64
182,61
184,58
186,55
188,52
190,52
192,49
194,52
196,49
198,61
200,58
202,55
204,52
206,49
208,52
210,49
212,49
214,66
216,64
218,61
220,58
222,55
224,52
226,52
228,49
230,52
232,49
234,61
236,58
238,55
240,52
242,49
244,52
246,49
248,49
250,75
252,72
254,72
256,69
258,66
260,64
262,61
264,58
266,58
268,61
270,58
272,58
274,66
276,64
278,61
280,58
282,58
284,61
286,58
288,58
290,81
292,78
294,75
296,72
298,75
300,72
302,78
304,75
306,78
308,75
310,72
312,75
314,72
316,81
318,78
320,75
322,72
324,72
326,75
328,72
330,72
332,69
334,66
336,64
338,61
340,58
342,55
344,52
346,52
348,49
350,52
352,49
354,61
356,58
358,55
360,52
362,49
364,52
366,49
368,49
370,66
372,64
374,61
376,58
378,55
380,52
382,52
384,49
386,52
388,49
390,61
392,58
394,55
396,52
398,49
400,52
402,49
404,49
406,75
408,72
410,72
412,69
414,66
416,64
418,61
420,58
422,58
424,61
426,58
428,58
430,66
432,64
434,61
436,58
438,58
440,61
442,58
444,58
446,78
448,75
450,72
452,75
454,72
456,81
458,78
460,75
462,72
464,75
466,72
468,78
470,75
472,78
474,75
476,72
478,75
480,72
482,81
484,78
486,75
488,72
490,72
492,75
494,72
496,72
498,69
500,66
502,64
504,61
506,58
508,55
510,52
512,52
514,49
516,47
518,44
520,42
522,44
524,52
526,49
528,75
530,72
532,72
534,69
536,66
538,64
540,61
542,58
544,58
546,78
548,75
550,72
552,75
554,72
556,78
558,75
560,72
562,72
564,75
566,72
568,72
570,69
572,66
574,75
576,72
578,72
580,69
582,66
584,97
586,100
588,97
590,94
592,92
594,90
596,88
598,85
600,84
602,81
604,78
606,75
608,72
610,75
612,72
614,78
616,75
618,72
620,72
622,75
624,72
626,72
628,69
630,66
632,64
634,61
636,58
638,55
640,52
642,49
644,52
646,49
648,61
650,58
652,55
654,52
656,49
658,49
660,66
662,64
664,61
666,58
668,55
670,52
672,49
674,52
676,49
678,61
680,58
682,55
684,52
686,49
688,49
690,75
692,72
694,72
696,69
698,66
700,64
702,61
704,58
706,58
708,61
710,58
712,58
714,66
716,64
718,61
720,58
722,58
724,61
726,58
728,58
730,81
732,78
734,75
736,72
738,75
740,72
742,78
744,75
746,78
748,75
750,72
752,69
754,66
756,64
758,61
760,58
762,55
764,52
766,52
768,52
770,55
772,52
774,49
776,52
778,49
780,61
782,58
784,55
786,52
788,52
790,55
792,52
794,49
796,47
798,44
800,58
802,55
804,52
806,49
808,52
810,49
812,55
814,52
816,49
818,49
820,66
822,64
824,61
826,58
828,55
830,52
832,52
834,52
836,55
838,52
840,49
842,52
844,49
846,61
848,58
850,55
852,52
854,52
856,55
858,52
860,49
862,47
864,44
866,58
868,55
870,52
872,49
874,52
876,49
878,55
880,52
882,49
884,49
886,75
888,72
890,69
892,66
894,64
896,61
898,58
900,55
902,52
904,52
906,58
908,55
910,52
912,52
914,61
916,58
918,55
920,52
922,58
924,55
926,52
928,49
930,47
932,44
934,58
936,55
938,52
940,49
942,66
944,64
946,61
948,58
950,55
952,52
954,52
956,58
958,55
960,52
962,52
964,61
966,58
968,55
970,52
972,58
974,55
976,52
978,49
980,47
982,44
984,58
986,55
988,52
990,49
992,81
994,78
996,75
998,72
1000,72
1002,75
1004,72
1006,72
1008,69
1010,66
1012,64
1014,61
1016,58
1018,55
1020,52
1022,49
1024,52
1026,49
1028,61
1030,58
1032,55
1034,52
1036,49
1038,49
1040,66
1042,64
1044,61
1046,58
1048,55
1050,52
1052,49
1054,52
1056,49
1058,61
1060,58
1062,55
1064,52
1066,49
1068,49
1070,75
1072,72
1074,72
1076,69
1078,66
1080,64
1082,61
1084,58
1086,58
1088,61
1090,58
1092,58
1094,66
1096,64
1098,61
1100,58
1102,58
1104,61
1106,58
1108,58
1110,78
1112,75
1114,72
1116,69
1118,66
1120,64
1122,61
1124,58
1126,55
1128,52
1130,52
1132,52
1134,55
1136,52
1138,49
1140,52
1142,49
1144,61
1146,58
1148,55
1150,52
1152,52
1154,55
1156,52
1158,49
1160,47
1162,44
1164,58
1166,55
1168,52
1170,49
1172,52
1174,49
1176,55
1178,52
1180,49
1182,49
1184,66
1186,64
1188,61
1190,58
1192,55
1194,52
1196,52
1198,52
1200,55
1202,52
1204,49
1206,52
1208,49
1210,61
1212,58
1214,55
1216,52
1218,52
1220,55
1222,52
1224,49
1226,47
1228,44
1230,58
1232,55
1234,52
1236,49
1238,52
1240,49
1242,55
1244,52
1246,49
1248,49
1250,75
1252,72
1254,69
1256,66
1258,64
1260,61
1262,58
1264,55
1266,52
1268,49
1270,52
1272,49
1274,61
1276,58
1278,55
1280,52
1282,52
1284,58
1286,55
1288,52
1290,49
1292,52
1294,49
1296,61
1298,58
1300,55
1302,52
1304,49
1306,47
1308,44
1310,58
1312,55
1314,52
1316,49
1318,49
1320,66
1322,64
1324,61
1326,58
1328,55
1330,52
1332,49
1334,52
1336,49
1338,61
1340,58
1342,55
1344,52
1346,52
1348,58
1350,55
1352,52
1354,49
1356,52
1358,49
1360,61
1362,58
1364,55
1366,52
1368,49
1370,47
1372,44
1374,58
1376,55
1378,52
1380,49
1382,49
1384,81
1386,78
1388,75
1390,72
1392,75
1394,72
1396,78
1398,75
1400,78
1402,75
1404,72
1406,69
1408,66
1410,64
1412,61
1414,58
1416,55
1418,52
1420,52
1422,58
1424,55
1426,52
1428,52
1430,61
1432,58
1434,55
1436,52
1438,58
1440,55
1442,52
1444,49
1446,47
1448,44
1450,58
1452,55
1454,52
1456,49
1458,66
1460,64
1462,61
1464,58
1466,55
1468,52
1470,52
1472,58
1474,55
1476,52
1478,52
1480,61
1482,58
1484,55
1486,52
1488,58
1490,55
1492,52
1494,49
1496,47
1498,44
1500,58
1502,55
1504,52
1506,49
1508,75
1510,72
1512,69
1514,66
1516,64
1518,61
1520,58
1522,55
1524,52
1526,49
1528,52
1530,49
1532,61
1534,58
1536,55
1538,52
1540,52
1542,58
1544,55
1546,52
1548,49
1550,52
1552,49
1554,61
1556,58
1558,55
1560,52
1562,49
1564,47
1566,44
1568,58
1570,55
1572,52
1574,49
1576,49
1578,66
1580,64
1582,61
1584,58
1586,55
1588,52
1590,49
1592,52
1594,49
1596,61
1598,58
1600,55
1602,52
1604,52
1606,58
1608,55
1610,52
1612,49
1614,52
1616,49
1618,61
1620,58
1622,55
1624,52
1626,49
1628,47
1630,44
1632,58
1634,55
1636,52
