cycle,p1Fitness,p2Fitness,averageTotalFitness
1,150,156,225.0
2,130,146,210.0
3,130,126,204.0
4,124,132,199.5
5,102,100,190.5
6,92,86,181.5
7,86,90,174.0
8,86,92,168.0
9,74,106,162.0
10,74,92,156.0
11,74,70,153.0
12,68,62,148.5
13,56,64,142.5
14,64,62,139.5
15,74,72,138.0
16,70,64,135.0
17,62,64,133.5
18,62,62,130.5
19,62,64,129.0
20,58,64,126.0
21,56,64,124.5
22,60,56,123.0
23,52,54,121.5
24,48,48,118.5
25,46,58,117.0
26,46,52,115.5
27,46,52,114.0
28,46,38,111.0
29,44,42,109.5
30,56,44,109.5
31,42,42,108.0
32,36,46,106.5
33,38,44,105.0
34,34,48,103.5
35,40,36,102.0
36,36,36,100.5
37,36,36,99.0
38,40,34,97.5
39,44,34,97.5
40,36,36,96.0
41,36,38,94.5
42,36,36,94.5
43,44,30,93.0
44,30,38,91.5
45,36,30,91.5
46,30,36,90.0
47,32,30,90.0
48,36,30,88.5
49,30,30,87.0
50,34,30,87.0
51,28,28,85.5
52,32,32,85.5
53,28,38,84.0
54,28,28,84.0
55,32,30,82.5
56,30,40,82.5
57,30,30,81.0
58,30,30,81.0
59,30,30,81.0
60,36,30,79.5
61,36,36,79.5
62,30,32,79.5
63,28,36,78.0
64,28,28,78.0
65,28,28,76.5
66,28,28,76.5
67,26,28,76.5
68,26,26,75.0
69,26,26,75.0
70,26,26,75.0
71,26,26,73.5
72,26,26,73.5
73,26,38,73.5
74,26,34,72.0
75,30,26,72.0
76,26,32,72.0
77,28,26,72.0
78,34,26,70.5
79,26,28,70.5
80,26,26,70.5
81,26,36,70.5
82,30,26,69.0
83,26,32,69.0
84,32,26,69.0
85,26,32,69.0
86,26,26,67.5
87,26,28,67.5
88,26,28,67.5
89,26,32,67.5
90,28,26,67.5
91,30,26,66.0
92,26,28,66.0
93,26,26,66.0
94,26,34,66.0
95,26,26,66.0
96,26,28,64.5
97,26,26,64.5
98,28,28,64.5
99,28,28,64.5
100,28,28,64.5
101,28,28,64.5
102,36,28,64.5
103,34,34,63.0
104,28,38,63.0
105,28,30,63.0
106,28,24,63.0
107,24,24,63.0
108,30,24,63.0
109,30,24,63.0
110,24,24,61.5
111,24,38,61.5
112,24,30,61.5
113,24,24,61.5
114,24,28,61.5
115,24,24,61.5
116,24,24,61.5
117,24,24,60.0
118,30,24,60.0
119,24,24,60.0
120,24,24,60.0
121,24,24,60.0
122,24,24,60.0
123,24,24,60.0
124,24,24,58.5
125,24,24,58.5
126,34,24,58.5
127,24,28,58.5
128,24,28,58.5
129,24,24,58.5
130,32,24,58.5
131,24,24,58.5
132,24,24,58.5
133,24,30,58.5
134,32,24,57.0
135,24,24,57.0
136,24,24,57.0
137,24,24,57.0
138,30,24,57.0
139,28,24,57.0
140,30,24,57.0
141,24,30,57.0
142,24,24,57.0
143,24,24,57.0
144,30,24,57.0
145,24,24,57.0
146,24,24,55.5
147,24,24,55.5
148,24,24,55.5
149,24,28,55.5
150,24,28,55.5
151,24,30,55.5
152,24,24,55.5
153,24,24,55.5
154,24,24,55.5
155,24,24,55.5
156,24,24,55.5
157,24,24,54.0
158,24,30,54.0
159,24,24,54.0
160,24,24,54.0
161,24,24,54.0
162,24,24,54.0
163,24,24,54.0
164,24,28,54.0
165,24,24,54.0
166,24,24,54.0
167,32,24,54.0
168,24,24,54.0
169,32,24,54.0
170,24,24,54.0
171,24,28,52.5
172,28,24,52.5
173,24,24,52.5
174,24,24,52.5
175,24,24,52.5
176,24,24,52.5
177,24,24,52.5
178,34,24,52.5
179,24,24,52.5
180,28,26,52.5
181,24,26,52.5
182,24,24,52.5
183,24,24,52.5
184,24,24,52.5
185,32,24,52.5
186,24,24,52.5
187,24,30,52.5
188,24,24,52.5
189,24,24,51.0
190,24,28,51.0
191,30,30,51.0
192,36,30,51.0
193,30,30,51.0
194,40,38,51.0
195,36,36,51.0
196,34,32,51.0
197,30,36,51.0
198,30,38,51.0
199,30,30,51.0
200,30,32,51.0
201,30,30,51.0
202,38,30,51.0
203,30,32,51.0
204,30,30,51.0
205,36,36,51.0
206,30,36,51.0
207,28,30,51.0
208,34,28,51.0
209,28,28,51.0
210,28,30,51.0
211,28,28,51.0
212,28,28,51.0
213,28,28,51.0
214,28,28,51.0
215,28,34,51.0
216,28,32,51.0
217,28,28,51.0
218,28,30,51.0
219,28,30,51.0
220,34,28,51.0
221,28,40,51.0
222,28,34,51.0
223,42,36,51.0
224,36,36,51.0
225,40,36,51.0
226,34,36,51.0
227,40,40,51.0
228,38,40,51.0
229,40,38,51.0
230,38,38,51.0
231,38,44,51.0
232,38,36,51.0
233,44,36,51.0
234,36,36,51.0
235,42,36,51.0
236,36,36,51.0
237,40,36,51.0
238,36,32,51.0
239,32,32,51.0
240,32,30,51.0
241,30,30,51.0
242,30,30,51.0
243,30,34,51.0
244,30,30,51.0
245,30,36,51.0
246,34,32,51.0
247,32,32,51.0
248,32,36,51.0
249,34,32,51.0
250,34,32,51.0
251,34,30,51.0
252,34,30,51.0
253,36,30,51.0
254,36,34,51.0
255,32,34,51.0
256,36,32,51.0
257,32,34,51.0
258,42,38,51.0
259,38,42,51.0
260,58,34,51.0
261,36,38,51.0
262,36,42,51.0
263,36,36,51.0
