cycle,p1Fitness,p2Fitness,averageTotalFitness
1,136,132,204.0
2,114,104,187.5
3,96,108,172.5
4,90,100,163.5
5,76,84,153.0
6,94,78,151.5
7,86,94,147.0
8,84,94,145.5
9,84,100,142.5
10,112,102,145.5
11,88,90,144.0
12,90,74,142.5
13,74,90,141.0
14,72,72,138.0
15,68,78,135.0
16,78,70,135.0
17,70,76,132.0
18,68,78,130.5
19,78,74,130.5
20,68,70,129.0
21,74,62,127.5
22,78,66,127.5
23,72,76,126.0
24,64,72,124.5
25,64,72,124.5
26,64,64,123.0
27,64,64,121.5
28,64,64,121.5
29,64,64,120.0
30,66,68,120.0
31,78,80,118.5
32,70,76,118.5
33,62,74,118.5
34,66,58,117.0
35,58,58,117.0
36,58,58,115.5
37,56,58,114.0
38,58,56,114.0
39,54,62,112.5
40,60,54,112.5
41,54,66,111.0
42,58,54,111.0
43,54,54,111.0
44,62,54,109.5
45,60,54,109.5
46,60,60,109.5
47,52,60,108.0
48,50,60,108.0
49,50,52,106.5
50,48,50,106.5
51,48,48,105.0
52,48,48,105.0
53,48,48,105.0
54,48,54,103.5
55,56,56,103.5
56,52,68,103.5
57,52,58,102.0
58,58,52,102.0
59,60,56,102.0
60,56,70,102.0
61,56,64,102.0
62,56,58,100.5
63,70,56,100.5
64,68,72,100.5
65,68,70,100.5
66,62,76,100.5
67,58,66,100.5
68,62,58,100.5
69,68,76,100.5
70,68,72,100.5
71,68,70,100.5
72,74,68,100.5
73,68,70,100.5
74,68,88,100.5
75,64,68,100.5
76,70,72,100.5
77,62,68,100.5
78,64,68,100.5
79,62,88,100.5
80,62,76,100.5
81,62,62,100.5
82,60,68,100.5
83,60,70,100.5
84,62,84,100.5
85,62,64,100.5
86,54,62,99.0
87,46,66,99.0
88,46,54,99.0
89,46,48,99.0
90,48,42,97.5
91,42,48,97.5
92,36,48,97.5
93,36,40,97.5
94,36,36,96.0
95,36,38,96.0
96,36,38,96.0
97,36,42,94.5
98,42,36,94.5
99,46,38,94.5
100,46,36,94.5
101,36,36,94.5
102,44,36,93.0
103,36,36,93.0
104,38,44,93.0
105,36,42,93.0
106,42,38,91.5
107,36,38,91.5
108,36,42,91.5
109,36,36,91.5
110,36,36,90.0
111,36,36,90.0
112,36,36,90.0
113,36,36,90.0
114,36,36,90.0
115,48,40,88.5
116,36,48,88.5
117,36,42,88.5
118,36,38,88.5
119,42,36,88.5
120,36,38,88.5
121,38,42,87.0
122,40,38,87.0
123,40,38,87.0
124,36,42,87.0
125,36,36,87.0
126,36,40,87.0
127,36,36,85.5
128,36,36,85.5
129,36,36,85.5
130,36,40,85.5
131,40,36,85.5
132,44,44,85.5
133,42,42,84.0
134,34,42,84.0
135,36,46,84.0
136,36,40,84.0
137,34,36,84.0
138,38,42,84.0
139,36,38,84.0
140,36,36,82.5
141,36,38,82.5
142,36,38,82.5
143,36,34,82.5
144,34,32,82.5
145,32,40,82.5
146,32,38,82.5
147,32,34,81.0
148,32,40,81.0
149,32,34,81.0
150,32,32,81.0
151,32,32,81.0
152,38,38,81.0
153,32,38,81.0
154,32,40,79.5
155,32,34,79.5
156,32,36,79.5
157,36,34,79.5
158,40,34,79.5
159,32,34,79.5
160,32,38,79.5
161,32,34,79.5
