cycle,p1Fitness,p2Fitness,averageTotalFitness
1,110,152,165.0
2,108,122,163.5
3,116,102,166.5
4,112,100,166.5
5,98,106,162.0
6,112,104,163.5
7,104,100,162.0
8,102,100,160.5
9,112,90,162.0
10,104,98,160.5
11,116,90,162.0
12,90,84,160.5
13,86,88,157.5
14,76,110,154.5
15,88,92,153.0
16,88,78,151.5
17,76,82,148.5
18,74,78,147.0
19,68,74,144.0
20,70,72,142.5
21,72,64,141.0
22,64,68,139.5
23,64,62,136.5
24,62,62,135.0
25,62,62,133.5
26,76,68,132.0
27,68,70,132.0
28,72,72,130.5
29,64,68,129.0
30,64,66,127.5
31,64,64,127.5
32,62,72,126.0
33,66,66,124.5
34,74,62,124.5
35,66,66,124.5
36,80,62,124.5
37,78,72,123.0
38,72,70,123.0
39,78,82,123.0
40,60,68,121.5
41,62,60,121.5
42,56,62,120.0
43,60,72,120.0
44,56,62,118.5
45,48,72,118.5
46,52,56,117.0
47,44,58,115.5
48,44,50,115.5
49,54,44,114.0
50,44,44,112.5
51,48,48,112.5
52,48,58,111.0
53,48,52,111.0
54,46,48,109.5
55,46,46,109.5
56,46,46,108.0
57,46,52,108.0
58,54,50,108.0
59,48,48,106.5
60,56,52,106.5
61,56,60,106.5
62,58,56,105.0
63,52,52,105.0
64,56,58,105.0
65,52,54,105.0
66,52,52,103.5
67,62,62,103.5
68,60,66,103.5
69,56,60,103.5
70,50,56,103.5
71,52,52,102.0
72,46,48,102.0
73,46,46,102.0
74,54,46,102.0
75,56,48,100.5
76,48,56,100.5
77,42,50,100.5
78,42,42,99.0
79,52,52,99.0
80,46,48,99.0
81,44,44,99.0
82,42,42,97.5
83,42,46,97.5
84,46,42,97.5
85,42,48,97.5
86,46,44,96.0
87,42,44,96.0
88,48,48,96.0
89,42,48,96.0
90,48,46,96.0
91,46,48,94.5
92,46,50,94.5
93,50,46,94.5
94,52,48,94.5
95,44,52,94.5
96,44,50,93.0
97,44,52,93.0
98,48,46,93.0
99,48,48,93.0
100,48,52,93.0
101,48,52,93.0
102,46,46,93.0
103,42,46,91.5
104,42,44,91.5
105,42,42,91.5
106,48,42,91.5
107,46,54,91.5
108,52,44,91.5
109,42,56,90.0
110,48,44,90.0
111,46,54,90.0
112,42,52,90.0
113,42,42,90.0
114,42,44,90.0
115,42,54,90.0
116,48,44,88.5
117,46,40,88.5
118,40,44,88.5
119,40,40,88.5
120,44,38,88.5
121,36,38,88.5
122,42,36,88.5
123,42,36,87.0
124,36,36,87.0
125,38,36,87.0
126,38,38,87.0
127,38,42,87.0
128,48,52,87.0
129,46,48,87.0
130,52,46,85.5
131,46,50,85.5
132,46,44,85.5
133,42,46,85.5
134,42,50,85.5
135,42,42,85.5
136,42,48,85.5
137,50,48,85.5
138,58,48,85.5
139,60,54,85.5
140,52,56,85.5
141,66,54,85.5
142,60,52,85.5
143,58,54,85.5
144,50,68,85.5
145,50,70,85.5
146,50,62,85.5
147,60,56,85.5
148,60,56,85.5
149,64,58,85.5
150,52,58,85.5
151,74,54,85.5
152,50,60,85.5
153,50,58,85.5
154,50,58,85.5
155,56,52,85.5
156,62,54,85.5
157,64,66,85.5
158,60,66,85.5
159,40,58,85.5
160,36,52,85.5
161,36,42,84.0
162,36,42,84.0
163,30,36,84.0
164,30,32,84.0
165,30,36,84.0
166,40,38,84.0
167,36,38,84.0
168,36,36,82.5
169,44,42,82.5
170,40,42,82.5
171,40,40,82.5
172,46,56,82.5
173,44,48,82.5
174,44,44,82.5
175,44,36,82.5
176,42,38,82.5
177,44,46,82.5
178,42,48,82.5
179,42,46,82.5
180,42,44,82.5
181,46,46,82.5
182,50,48,82.5
183,50,62,81.0
184,46,64,81.0
185,46,46,81.0
186,46,46,81.0
187,44,50,81.0
188,50,52,81.0
189,48,56,81.0
190,44,54,81.0
191,42,50,81.0
192,38,42,81.0
193,42,44,81.0
194,40,42,81.0
195,54,40,81.0
196,40,44,81.0
197,46,38,81.0
198,38,38,81.0
199,30,44,81.0
200,36,44,79.5
201,36,36,79.5
202,34,38,79.5
203,40,36,79.5
204,34,42,79.5
205,40,34,79.5
206,30,40,79.5
207,30,32,79.5
208,26,26,79.5
209,28,30,79.5
210,38,32,79.5
211,38,32,78.0
212,32,32,78.0
213,32,32,78.0
214,38,30,78.0
215,56,30,78.0
216,34,30,78.0
217,30,36,78.0
218,28,32,78.0
219,28,28,78.0
220,30,30,78.0
221,30,30,78.0
222,34,32,76.5
223,28,34,76.5
224,28,38,76.5
225,36,28,76.5
226,28,28,76.5
227,26,34,76.5
228,26,24,76.5
229,24,26,76.5
230,30,24,76.5
231,28,24,76.5
232,30,26,75.0
233,32,26,75.0
234,26,26,75.0
235,26,30,75.0
236,30,28,75.0
237,28,28,75.0
238,28,26,75.0
239,26,30,75.0
240,32,32,75.0
241,32,34,75.0
242,30,32,75.0
243,30,32,73.5
244,34,38,73.5
245,32,44,73.5
246,30,32,73.5
247,32,28,73.5
248,28,28,73.5
249,34,28,73.5
250,34,28,73.5
251,36,30,73.5
252,30,30,73.5
253,28,30,73.5
254,28,28,73.5
255,28,30,73.5
256,28,28,73.5
257,28,28,72.0
258,32,30,72.0
259,32,32,72.0
260,36,52,72.0
261,36,42,72.0
262,36,36,72.0
263,36,36,72.0
264,36,36,72.0
265,36,40,72.0
266,52,36,72.0
267,36,46,72.0
268,36,46,72.0
269,42,46,72.0
270,42,48,72.0
271,42,54,72.0
272,36,62,72.0
273,34,56,72.0
274,34,46,72.0
275,36,44,72.0
276,34,40,72.0
277,34,36,72.0
278,36,34,72.0
279,38,34,70.5
280,38,34,70.5
281,34,36,70.5
282,30,34,70.5
283,30,30,70.5
284,26,34,70.5
285,30,26,70.5
286,26,28,70.5
287,26,30,70.5
288,26,26,70.5
289,26,26,70.5
290,26,28,70.5
291,34,32,70.5
292,30,30,70.5
293,30,32,70.5
294,30,32,70.5
295,30,32,69.0
296,34,32,69.0
297,28,28,69.0
298,28,26,69.0
299,26,26,69.0
300,26,26,69.0
301,26,24,69.0
302,24,24,69.0
303,24,30,69.0
304,24,24,69.0
305,30,28,69.0
306,18,34,69.0
307,18,18,69.0
308,18,24,69.0
309,18,26,67.5
310,18,18,67.5
311,24,22,67.5
312,18,22,67.5
313,18,26,67.5
314,18,18,67.5
315,24,18,67.5
316,18,18,67.5
317,18,18,67.5
318,18,18,67.5
319,18,18,67.5
320,26,18,67.5
321,18,24,66.0
322,18,18,66.0
323,18,18,66.0
324,24,18,66.0
325,18,24,66.0
326,18,18,66.0
327,18,18,66.0
328,18,18,66.0
329,24,18,66.0
330,18,18,66.0
331,18,18,66.0
332,18,18,66.0
333,18,18,66.0
334,18,24,64.5
335,18,18,64.5
336,18,18,64.5
337,18,18,64.5
338,18,18,64.5
