cycle,p1Fitness,p2Fitness,averageTotalFitness
1,132,154,198.0
2,106,140,178.5
3,108,122,172.5
4,100,94,166.5
5,92,90,160.5
6,86,88,156.0
7,82,72,150.0
8,72,74,145.5
9,72,72,141.0
10,78,64,138.0
11,64,68,135.0
12,60,58,130.5
13,58,58,127.5
14,58,60,124.5
15,60,58,121.5
16,58,56,120.0
17,56,56,117.0
18,56,56,115.5
19,56,58,114.0
20,56,56,112.5
21,72,56,112.5
22,76,58,112.5
23,70,68,112.5
24,68,78,111.0
25,70,82,111.0
26,74,78,111.0
27,78,72,111.0
28,72,66,111.0
29,64,74,111.0
30,62,60,109.5
31,60,66,109.5
32,52,62,108.0
33,48,60,108.0
34,58,88,106.5
35,58,62,106.5
36,52,56,105.0
37,58,54,105.0
38,50,54,103.5
39,52,44,103.5
40,44,48,102.0
41,44,44,102.0
42,46,50,100.5
43,52,44,100.5
44,42,46,99.0
45,42,42,99.0
46,40,42,97.5
47,42,48,97.5
48,40,52,96.0
49,54,42,96.0
50,42,48,94.5
51,50,42,94.5
52,42,52,94.5
53,42,44,93.0
54,42,50,93.0
55,42,42,93.0
56,42,46,91.5
57,42,42,91.5
58,42,44,90.0
59,40,52,90.0
60,38,38,90.0
61,38,38,88.5
62,42,40,88.5
63,40,48,88.5
64,40,48,87.0
65,54,50,87.0
66,56,50,87.0
67,52,52,87.0
68,50,68,87.0
69,60,56,87.0
70,74,54,87.0
71,52,62,87.0
72,62,52,87.0
73,52,52,87.0
74,50,52,87.0
75,52,64,87.0
76,64,52,87.0
77,58,52,87.0
78,58,52,87.0
79,64,52,87.0
80,64,72,87.0
81,62,64,87.0
82,56,70,87.0
83,62,52,87.0
84,64,52,87.0
85,52,60,87.0
86,52,54,87.0
87,52,56,87.0
88,48,62,87.0
89,50,56,87.0
90,46,44,87.0
91,44,42,87.0
92,42,40,85.5
93,48,48,85.5
94,50,42,85.5
95,42,46,85.5
96,52,44,85.5
97,44,64,85.5
98,42,46,85.5
99,46,40,85.5
100,40,40,84.0
101,40,38,84.0
102,46,40,84.0
103,40,42,84.0
104,40,42,84.0
105,40,38,84.0
106,44,40,84.0
107,40,50,82.5
108,40,42,82.5
109,46,46,82.5
110,50,58,82.5
111,58,56,82.5
112,50,52,82.5
113,46,50,82.5
114,44,46,82.5
115,50,44,82.5
116,56,40,82.5
117,38,50,82.5
118,38,46,82.5
119,38,38,81.0
120,44,52,81.0
121,40,44,81.0
122,44,42,81.0
123,44,40,81.0
124,40,32,81.0
125,32,40,81.0
126,38,36,81.0
127,36,40,79.5
128,36,40,79.5
129,36,36,79.5
130,36,36,79.5
131,36,40,79.5
132,44,40,79.5
133,36,52,79.5
134,44,36,79.5
135,36,42,79.5
136,36,38,78.0
137,36,36,78.0
138,36,42,78.0
139,36,36,78.0
140,36,36,78.0
141,36,36,78.0
142,40,36,78.0
143,40,42,78.0
144,36,34,78.0
145,34,34,76.5
146,34,34,76.5
147,40,38,76.5
148,36,38,76.5
149,42,36,76.5
150,36,38,76.5
151,42,36,76.5
152,44,38,76.5
153,38,38,76.5
154,52,38,76.5
155,38,56,76.5
156,38,46,76.5
157,40,44,75.0
158,48,46,75.0
159,38,48,75.0
160,44,44,75.0
161,40,52,75.0
162,46,42,75.0
163,50,42,75.0
164,42,46,75.0
165,46,50,75.0
166,44,46,75.0
167,42,44,75.0
168,40,42,75.0
169,40,40,75.0
170,48,40,75.0
171,40,42,75.0
172,40,40,75.0
173,60,46,75.0
174,52,46,75.0
175,52,46,75.0
176,46,46,75.0
177,46,62,75.0
178,50,54,75.0
179,48,62,75.0
180,48,50,75.0
181,66,50,75.0
182,52,60,75.0
183,54,52,75.0
184,58,52,75.0
185,52,66,75.0
186,50,52,75.0
187,50,50,75.0
188,58,50,75.0
189,58,54,75.0
190,52,54,75.0
191,52,44,75.0
192,52,44,75.0
193,50,48,75.0
194,44,48,75.0
195,52,44,75.0
196,54,50,75.0
197,48,46,75.0
198,46,54,75.0
199,54,44,75.0
200,44,54,75.0
201,46,46,75.0
202,44,50,75.0
203,48,44,75.0
204,48,42,75.0
205,42,50,75.0
206,42,44,75.0
207,44,42,75.0
208,52,42,75.0
209,42,44,75.0
210,48,56,75.0
211,48,48,75.0
212,48,62,75.0
213,50,48,75.0
214,54,50,75.0
215,42,54,75.0
216,42,52,75.0
217,52,58,75.0
218,48,48,75.0
219,46,54,75.0
220,58,46,75.0
221,50,52,75.0
222,44,50,75.0
223,44,54,75.0
224,44,50,75.0
225,50,62,75.0
226,50,56,75.0
227,54,52,75.0
228,62,50,75.0
229,50,58,75.0
230,54,76,75.0
231,52,60,75.0
232,48,58,75.0
233,56,48,75.0
234,48,52,75.0
235,46,48,75.0
236,46,46,75.0
237,48,46,75.0
238,58,44,75.0
239,44,52,75.0
240,44,48,75.0
241,44,44,75.0
242,44,42,75.0
243,40,48,75.0
244,40,42,75.0
245,40,40,73.5
246,42,52,73.5
247,42,50,73.5
248,42,48,73.5
249,40,46,73.5
250,50,40,73.5
251,44,40,73.5
